"TNA","2004","2005","2006","2007*","2008","2009","2010","2011","2012","2013"
"Total Tenaga Non Akademik","1.071","1.028","967","1.591","1.578","1.571","1.489","1.528","1.498","1.408"
"Ratio Tenaga Non Akademik : Mahasiswa","1:14","1:16","1:16","1:10","1:11","1:12","1:13","1:13","1:14","1:15"
